disciplinary_group,net_monthly_salary,employment_rate,graduates,point_label,color_group
Educazione e Formazione,1477.0,93.9,7018,Educazione,Educazione e Formazione
Letterario-Umanistico,1562.0,88.1,6605,Letterario,Letterario-Umanistico
Arte e Design,1563.0,88.5,2575,Arte/design,Arte e Design
Psicologico,1641.0,93.6,6173,Psicologico,Psicologico
Linguistico,1646.0,92.2,6227,Linguistico,Linguistico
Scienze motorie e sportive,1668.0,94.6,1113,Motorie,Scienze motorie e sportive
Politico-Sociale e Comunicazione,1804.0,91.9,8581,Politico-soc.,Politico-Sociale e Comunicazione
Scientifico,1840.0,93.2,11674,Scientifico,Scientifico
Agrario-Forestale e Veterinario,1885.0,94.3,3271,Agrario-vet.,Agrario-Forestale e Veterinario
Giuridico,1911.0,91.6,12154,Giuridico,Giuridico
Architettura e Ingegneria civile,1988.0,96.8,7927,Arch.-ing. civ.,Architettura e Ingegneria civile
Medico-Sanitario e Farmaceutico,1993.0,96.5,21083,Medico,Medico-Sanitario e Farmaceutico
Economico,2006.0,96.3,16534,Economico,Economico
Ingegneria industriale e dell'informazione,2185.0,97.5,13041,Ing. ind.,Ingegneria industriale e dell'informazione
Informatica e Tecnologie ICT,2226.0,97.0,1336,ICT,Informatica e Tecnologie ICT
