disciplinary_group,net_monthly_salary,employment_rate,graduates,point_label,color_group
Educazione e Formazione,1459.0,91.0,3133,Educazione,Educazione e Formazione
Letterario-Umanistico,1559.0,88.0,6531,Letterario,Letterario-Umanistico
Arte e Design,1563.0,88.5,2575,Arte/design,Arte e Design
Psicologico,1641.0,93.6,6173,Psicologico,Psicologico
Linguistico,1646.0,92.2,6227,Linguistico,Linguistico
Scienze motorie e sportive,1668.0,94.6,1113,Motorie,Scienze motorie e sportive
Medico-Sanitario e Farmaceutico,1716.0,94.2,4779,Medico,Medico-Sanitario e Farmaceutico
Agrario-Forestale e Veterinario,1762.0,93.7,2480,Agrario-vet.,Agrario-Forestale e Veterinario
Giuridico,1776.0,71.4,22,Giuridico,Giuridico
Politico-Sociale e Comunicazione,1804.0,91.9,8581,Politico-soc.,Politico-Sociale e Comunicazione
Scientifico,1840.0,93.2,11674,Scientifico,Scientifico
Economico,2006.0,96.3,16534,Economico,Economico
Architettura e Ingegneria civile,2036.0,97.4,5193,Arch.-ing. civ.,Architettura e Ingegneria civile
Ingegneria industriale e dell'informazione,2185.0,97.5,13041,Ing. ind.,Ingegneria industriale e dell'informazione
Informatica e Tecnologie ICT,2226.0,97.0,1336,ICT,Informatica e Tecnologie ICT
