disciplinary_group,net_monthly_salary,employment_rate,graduates,point_label,color_group
Psicologico,926.0,36.1,9186,Psicologico,Psicologico
Letterario-Umanistico,952.0,33.7,9862,Letterario,Letterario-Umanistico
Scienze motorie e sportive,983.0,63.9,7092,Motorie,Scienze motorie e sportive
Scientifico,1005.0,29.4,17151,Scientifico,Scientifico
Arte e Design,1013.0,43.1,7354,Arte/design,Arte e Design
Linguistico,1028.0,41.7,12207,Linguistico,Linguistico
Educazione e Formazione,1071.0,66.7,9967,Educazione,Educazione e Formazione
Politico-Sociale e Comunicazione,1144.0,48.2,19649,Politico-soc.,Politico-Sociale e Comunicazione
Agrario-Forestale e Veterinario,1232.0,49.1,4038,Agrario-vet.,Agrario-Forestale e Veterinario
Economico,1260.0,47.4,27853,Economico,Economico
Ingegneria industriale e dell'informazione,1289.0,33.6,20859,Ing. ind.,Ingegneria industriale e dell'informazione
Architettura e Ingegneria civile,1316.0,38.3,4267,Arch.-ing. civ.,Architettura e Ingegneria civile
Informatica e Tecnologie ICT,1472.0,60.4,4147,ICT,Informatica e Tecnologie ICT
Giuridico,1558.0,69.4,5820,Giuridico,Giuridico
Medico-Sanitario e Farmaceutico,1639.0,83.6,21312,Medico,Medico-Sanitario e Farmaceutico
