Color_field,Retribuzione mensile netta,Ateneo,Gruppo disciplinare,Tipo di corso,Numero di laureati,Tasso di occupazione
Agrario-forestale e veterinario,1885.0,*,Agrario-forestale e veterinario,*,3271,94.3
Agrario-forestale e veterinario,1805.0,Bari,Agrario-forestale e veterinario,*,191,91.8
Agrario-forestale e veterinario,1648.0,Basilicata,Agrario-forestale e veterinario,*,33,100.0
Agrario-forestale e veterinario,1922.0,Bologna,Agrario-forestale e veterinario,*,387,94.8
Agrario-forestale e veterinario,2241.0,Bolzano,Agrario-forestale e veterinario,*,23,86.7
Agrario-forestale e veterinario,2495.0,Camerino,Agrario-forestale e veterinario,*,33,95.8
Agrario-forestale e veterinario,1540.0,Catania,Agrario-forestale e veterinario,*,100,87.0
Agrario-forestale e veterinario,,Catanzaro,Agrario-forestale e veterinario,*,1,
Agrario-forestale e veterinario,1640.0,Firenze,Agrario-forestale e veterinario,*,101,90.0
Agrario-forestale e veterinario,1612.0,Foggia,Agrario-forestale e veterinario,*,30,100.0
Agrario-forestale e veterinario,1640.0,Marche Politecnica,Agrario-forestale e veterinario,*,68,92.1
Agrario-forestale e veterinario,2300.0,Messina,Agrario-forestale e veterinario,*,40,100.0
Agrario-forestale e veterinario,2038.0,Milano,Agrario-forestale e veterinario,*,352,95.4
Agrario-forestale e veterinario,1829.0,Modena e Reggio Emilia,Agrario-forestale e veterinario,*,53,100.0
Agrario-forestale e veterinario,1563.0,Molise,Agrario-forestale e veterinario,*,42,92.3
Agrario-forestale e veterinario,1753.0,Napoli Federico II,Agrario-forestale e veterinario,*,268,88.2
Agrario-forestale e veterinario,1897.0,Padova,Agrario-forestale e veterinario,*,315,98.6
Agrario-forestale e veterinario,1501.0,Palermo,Agrario-forestale e veterinario,*,80,92.1
Agrario-forestale e veterinario,2066.0,Parma,Agrario-forestale e veterinario,*,145,98.6
Agrario-forestale e veterinario,2074.0,Perugia,Agrario-forestale e veterinario,*,131,97.1
Agrario-forestale e veterinario,1874.0,Pisa,Agrario-forestale e veterinario,*,138,97.6
Agrario-forestale e veterinario,1509.0,Reggio Calabria Mediterranea,Agrario-forestale e veterinario,*,52,83.9
Agrario-forestale e veterinario,,Roma Sapienza,Agrario-forestale e veterinario,*,19,
Agrario-forestale e veterinario,1861.0,Sassari,Agrario-forestale e veterinario,*,77,92.7
Agrario-forestale e veterinario,2172.0,Teramo,Agrario-forestale e veterinario,*,77,89.8
Agrario-forestale e veterinario,1967.0,Torino,Agrario-forestale e veterinario,*,297,95.7
Agrario-forestale e veterinario,1696.0,Tuscia,Agrario-forestale e veterinario,*,92,90.7
Agrario-forestale e veterinario,1884.0,Udine,Agrario-forestale e veterinario,*,126,96.1
Agrario-forestale e veterinario,2248.0,*,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,791,95.9
Agrario-forestale e veterinario,2009.0,Bari,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,54,93.5
Agrario-forestale e veterinario,2249.0,Bologna,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,88,98.3
Agrario-forestale e veterinario,2495.0,Camerino,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,33,95.8
Agrario-forestale e veterinario,,Catanzaro,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,1,
Agrario-forestale e veterinario,2300.0,Messina,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,40,100.0
Agrario-forestale e veterinario,2275.0,Milano,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,98,94.5
Agrario-forestale e veterinario,2123.0,Napoli Federico II,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,82,88.9
Agrario-forestale e veterinario,2408.0,Padova,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,52,96.2
Agrario-forestale e veterinario,2459.0,Parma,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,43,100.0
Agrario-forestale e veterinario,2335.0,Perugia,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,69,100.0
Agrario-forestale e veterinario,2010.0,Pisa,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,44,100.0
Agrario-forestale e veterinario,,Sassari,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,32,
Agrario-forestale e veterinario,2206.0,Teramo,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,62,92.9
Agrario-forestale e veterinario,2315.0,Torino,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,93,96.2
Agrario-forestale e veterinario,1762.0,*,Agrario-forestale e veterinario,Laurea magistrale biennale,2480,93.7
Agrario-forestale e veterinario,1707.0,Bari,Agrario-forestale e veterinario,Laurea magistrale biennale,137,90.9
Agrario-forestale e veterinario,1648.0,Basilicata,Agrario-forestale e veterinario,Laurea magistrale biennale,33,100.0
Agrario-forestale e veterinario,1808.0,Bologna,Agrario-forestale e veterinario,Laurea magistrale biennale,299,93.6
Agrario-forestale e veterinario,2241.0,Bolzano,Agrario-forestale e veterinario,Laurea magistrale biennale,23,86.7
Agrario-forestale e veterinario,1540.0,Catania,Agrario-forestale e veterinario,Laurea magistrale biennale,100,87.0
Agrario-forestale e veterinario,1640.0,Firenze,Agrario-forestale e veterinario,Laurea magistrale biennale,101,90.0
Agrario-forestale e veterinario,1612.0,Foggia,Agrario-forestale e veterinario,Laurea magistrale biennale,30,100.0
Agrario-forestale e veterinario,1640.0,Marche Politecnica,Agrario-forestale e veterinario,Laurea magistrale biennale,68,92.1
Agrario-forestale e veterinario,1944.0,Milano,Agrario-forestale e veterinario,Laurea magistrale biennale,254,95.7
