Color_field,Avg. Retribuzione mensile netta,Avg. Tasso di occupazione,Sum of Numero di laureati
Agrario-forestale e veterinario,1885.0,94.3,3271
Architettura e ingegneria civile,1988.0,96.8,7927
Arte e design,1563.0,88.5,2575
Economico,2006.0,96.3,16534
Educazione e formazione,1477.0,93.9,7018
Giuridico,1911.0,91.6,12154
Informatica e tecnologie ICT,2226.0,97.0,1336
Ingegneria industriale e dell'informazione,2185.0,97.5,13041
Letterario-umanistico,1562.0,88.1,6605
Linguistico,1646.0,92.2,6227
Medico-sanitario e farmaceutico,1993.0,96.5,21083
Politico-sociale e comunicazione,1804.0,91.9,8581
Psicologico,1641.0,93.6,6173
Scientifico,1840.0,93.2,11674
Scienze motorie e sportive,1668.0,94.6,1113
